offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result,is_home_offense,start_offense_score,start_defense_score,end_offense_score,end_defense_score
Iowa State,Big 12,Iowa,Big Ten,401404064,4014040641,1,false,1,75,75,15,0,1,75,75,13,2,1,58,3,0,PUNT,false,0,0,0,0
Iowa,Big Ten,Iowa State,Big 12,401404064,4014040642,2,true,1,84,16,15,0,1,100,0,12,21,2,39,2,16,TD,true,0,0,7,0
Iowa State,Big 12,Iowa,Big Ten,401404064,4014040643,3,false,1,75,75,12,21,1,58,58,9,52,2,29,4,17,PUNT,false,0,7,0,7
Iowa,Big Ten,Iowa State,Big 12,401404064,4014040644,4,false,1,19,81,9,52,1,34,66,7,55,1,57,4,15,PUNT,true,7,0,7,0
Iowa State,Big 12,Iowa,Big Ten,401404064,4014040645,5,false,1,85,85,7,55,1,47,47,4,29,3,26,8,38,PUNT,false,0,7,0,7
Iowa,Big Ten,Iowa State,Big 12,401404064,4014040646,6,false,1,20,80,4,29,1,54,46,0,33,3,56,8,34,FUMBLE,true,7,0,7,0
Iowa State,Big 12,Iowa,Big Ten,401404064,4014040647,7,false,1,49,49,0,33,2,0,0,12,17,3,16,8,49,FUMBLE,false,0,7,0,7
Iowa,Big Ten,Iowa State,Big 12,401404064,4014040648,8,false,2,20,80,12,17,2,46,54,8,51,3,26,6,26,PUNT,true,7,0,7,0
Iowa State,Big 12,Iowa,Big Ten,401404064,4014040649,9,true,2,80,80,8,51,2,4,4,3,45,5,6,14,76,FG,false,0,7,3,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406410,10,false,2,26,74,3,40,2,31,69,2,37,1,3,3,5,PUNT,true,7,3,7,3
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406411,11,false,2,73,73,2,37,2,68,68,1,53,0,44,3,5,PUNT,false,3,7,3,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406412,12,false,2,16,84,1,53,2,18,82,1,33,0,20,3,2,INT,true,7,3,7,3
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406413,13,false,2,12,12,1,33,2,12,12,0,57,0,36,2,0,INT,false,3,7,3,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406414,14,false,2,20,80,0,57,2,23,77,0,0,0,57,2,3,END OF HALF,true,7,3,7,3
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406415,15,false,3,32,68,14,54,3,37,63,12,43,2,11,3,5,PUNT,true,7,3,7,3
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406416,16,false,3,80,80,12,43,3,57,57,11,11,1,32,4,23,INT,false,3,7,3,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406417,17,false,3,49,51,11,11,3,50,50,9,27,1,44,3,1,PUNT,true,7,3,7,3
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406418,18,false,3,95,95,9,27,3,92,92,7,44,1,43,3,3,PUNT,false,3,7,3,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406419,19,false,3,80,20,7,44,3,99,1,5,16,2,28,5,19,FUMBLE,true,7,3,7,3
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406420,20,true,3,99,99,5,16,4,0,0,8,27,11,49,21,99,TD,false,3,7,10,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406421,21,false,4,25,75,8,27,4,30,70,7,2,1,25,3,5,PUNT,true,7,10,7,10
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406422,22,false,4,71,71,7,2,4,59,59,3,6,3,56,6,12,PUNT,false,10,7,10,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406423,23,false,4,22,78,3,6,4,33,67,2,18,0,48,5,11,DOWNS,true,7,10,7,10
Iowa State,Big 12,Iowa,Big Ten,401404064,40140406424,24,false,4,33,33,2,18,4,27,27,0,38,1,40,4,6,DOWNS,false,10,7,10,7
Iowa,Big Ten,Iowa State,Big 12,401404064,40140406425,25,false,4,27,73,0,38,4,70,30,0,0,0,38,6,43,MISSED FG,true,7,10,7,10
Iowa,Big Ten,South Dakota State,MVFC,401405062,4014050621,1,false,1,25,75,14,59,1,31,69,12,45,2,14,6,6,PUNT,true,0,0,0,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,4014050622,2,false,1,88,88,12,39,1,90,90,11,6,1,33,3,-2,PUNT,false,0,0,0,0
Iowa,Big Ten,South Dakota State,MVFC,401405062,4014050623,3,false,1,73,27,11,0,1,78,22,9,31,1,29,4,5,MISSED FG,true,0,0,0,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,4014050624,4,false,1,78,78,9,30,1,52,52,6,39,2,51,5,26,PUNT,false,0,0,0,0
Iowa,Big Ten,South Dakota State,MVFC,401405062,4014050625,5,false,1,20,80,6,38,1,39,61,4,15,2,23,5,19,PUNT,true,0,0,0,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,4014050626,6,false,1,94,94,4,4,1,93,93,2,34,1,30,3,1,PUNT,false,0,0,0,0
Iowa,Big Ten,South Dakota State,MVFC,401405062,4014050627,7,true,1,67,33,2,18,1,72,28,1,11,1,7,4,5,FG,true,0,0,3,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,4014050628,8,false,1,83,83,1,4,2,85,85,14,56,1,8,3,-2,PUNT,false,0,3,0,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,4014050629,9,false,2,41,59,14,40,2,63,37,12,43,1,57,4,22,PUNT,true,3,0,3,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506210,10,false,2,98,98,12,33,2,91,91,8,29,4,4,6,7,PUNT,false,0,3,0,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506211,11,false,2,51,49,8,19,2,42,58,6,39,1,40,3,-9,PUNT,true,3,0,3,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506212,12,false,2,82,82,6,28,2,80,80,5,36,0,52,3,2,PUNT,false,0,3,0,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506213,13,false,2,35,65,5,27,2,45,55,3,16,2,11,6,10,INT,true,3,0,3,0
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506214,14,true,2,38,38,3,4,2,27,27,0,20,2,44,7,11,FG,false,0,3,3,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506215,15,false,2,32,68,0,10,2,30,70,0,0,0,10,1,-2,END OF HALF,true,3,3,3,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506216,16,false,3,81,81,14,53,3,62,62,10,8,4,45,7,19,PUNT,false,3,3,3,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506217,17,false,3,27,73,9,57,3,30,70,8,37,1,20,3,3,PUNT,true,3,3,3,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506218,18,false,3,80,80,8,29,3,81,81,6,58,1,31,3,-1,PUNT,false,3,3,3,3
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506219,19,false,3,20,80,6,38,3,50,50,4,20,2,18,4,30,PUNT,true,3,3,3,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506220,20,true,3,99,99,4,9,3,99,99,4,9,0,0,1,0,SF,false,3,5,3,5
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506221,21,false,3,36,64,3,56,3,93,7,0,34,3,22,7,57,FUMBLE,true,5,3,5,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506222,22,false,3,93,93,0,23,4,70,70,13,28,1,55,5,23,PUNT,false,3,5,3,5
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506223,23,false,4,30,70,13,21,4,36,64,12,44,0,37,3,6,PUNT,true,5,3,5,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506224,24,false,4,96,96,12,35,4,96,96,10,25,2,10,3,0,PUNT,false,3,5,3,5
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506225,25,false,4,50,50,10,19,4,56,44,8,14,2,5,3,6,PUNT,true,5,3,5,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506226,26,false,4,80,80,8,5,4,88,88,6,32,1,33,3,-8,PUNT,false,3,5,3,5
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506227,27,false,4,44,56,6,16,4,44,56,4,55,1,21,3,0,PUNT,true,5,3,5,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506228,28,true,4,92,92,4,46,4,100,100,4,4,0,42,2,-8,SF,false,3,5,3,7
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506229,29,false,4,43,57,3,49,4,63,37,0,43,3,6,6,20,PUNT,true,7,3,7,3
South Dakota State,MVFC,Iowa,Big Ten,401405062,40140506230,30,false,4,80,80,0,36,4,74,74,0,19,0,17,4,6,DOWNS,false,3,7,3,7
Iowa,Big Ten,South Dakota State,MVFC,401405062,40140506231,31,false,4,74,26,0,10,4,72,28,0,0,0,10,1,-2,END OF GAME,true,7,3,7,3
Iowa,Big Ten,Nevada,Mountain West,401405082,4014050821,1,false,1,25,75,15,0,1,38,62,11,12,3,48,6,13,PUNT,true,0,0,0,0
Nevada,Mountain West,Iowa,Big Ten,401405082,4014050822,2,false,1,80,80,11,12,1,72,72,9,44,1,28,3,8,PUNT,false,0,0,0,0
Iowa,Big Ten,Nevada,Mountain West,401405082,4014050823,3,false,1,35,65,9,44,1,55,45,7,11,2,33,5,20,PUNT,true,0,0,0,0
Nevada,Mountain West,Iowa,Big Ten,401405082,4014050824,4,false,1,97,97,7,11,1,89,89,4,54,2,17,3,8,PUNT,false,0,0,0,0
Iowa,Big Ten,Nevada,Mountain West,401405082,4014050825,5,true,1,60,40,4,54,1,100,0,4,36,0,18,2,40,TD,true,0,0,7,0
Nevada,Mountain West,Iowa,Big Ten,401405082,4014050826,6,false,1,75,75,4,36,1,65,65,2,43,1,53,5,10,INT,false,0,7,0,7
Iowa,Big Ten,Nevada,Mountain West,401405082,4014050827,7,true,1,59,41,2,43,1,100,0,0,23,2,20,4,41,TD,true,7,0,14,0
Nevada,Mountain West,Iowa,Big Ten,401405082,4014050828,8,false,1,75,75,0,0,2,72,72,14,3,0,57,3,3,PUNT,false,0,14,0,14
Iowa,Big Ten,Nevada,Mountain West,401405082,4014050829,9,true,2,6,94,14,3,2,75,25,9,42,4,21,11,69,FG,true,14,0,17,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508210,10,false,2,75,75,9,42,2,58,58,6,57,2,45,6,17,PUNT,false,0,17,0,17
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508211,11,false,2,35,65,6,57,2,56,44,2,22,4,35,9,21,PUNT,true,17,0,17,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508212,12,false,2,98,98,2,22,2,80,80,0,4,2,18,6,18,PUNT,false,0,17,0,17
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508213,13,false,2,30,70,0,0,2,28,72,0,0,0,0,1,-2,END OF HALF,true,17,0,17,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508214,14,false,3,65,65,15,0,3,47,47,12,11,2,49,6,18,PUNT,false,0,17,0,17
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508215,15,false,3,9,91,12,11,3,18,82,10,2,2,9,3,9,PUNT,true,17,0,17,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508216,16,false,3,62,62,10,2,3,39,39,5,18,4,44,11,23,MISSED FG,false,0,17,0,17
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508217,17,true,3,39,61,5,18,3,85,15,2,40,2,38,5,46,FG,true,17,0,20,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508218,18,false,3,75,75,2,40,3,81,81,0,39,2,1,3,-6,PUNT,false,0,20,0,20
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508219,19,false,3,37,63,0,39,4,36,64,14,47,0,52,3,-1,PUNT,true,20,0,20,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508220,20,false,4,79,79,14,47,4,63,63,12,16,2,31,6,16,PUNT,false,0,20,0,20
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508221,21,false,4,24,76,12,16,4,35,65,9,26,2,50,6,11,PUNT,true,20,0,20,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508222,22,false,4,87,87,9,26,4,85,85,8,33,0,53,3,2,PUNT,false,0,20,0,20
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508223,23,true,4,45,55,8,22,4,100,0,8,22,0,0,1,55,TD,true,27,0,27,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508224,24,false,4,75,75,8,22,4,54,54,6,4,2,18,5,21,PUNT,false,0,27,0,27
Iowa,Big Ten,Nevada,Mountain West,401405082,40140508225,25,false,4,15,85,6,4,4,50,50,2,46,3,18,7,35,PUNT,true,27,0,27,0
Nevada,Mountain West,Iowa,Big Ten,401405082,40140508226,26,false,4,86,86,2,46,4,63,63,0,0,2,46,5,23,END OF GAME,false,0,27,0,27
