season,games,wins,losses,fbs_wins,fbs_losses,offense_ppg,defense_ppg,ppg_margin,int_tds,d_fr_tds,st_tds,safeties,non_o_points,filtered_o_ppg,d_st_ppg,win_perc,defense_ppg_rank,offense_ppg_rank
2001,12,7,5,7,5,32.6,21.5,11.1,1,0,1,0,14,31.43,1.17,0.58,22,23
2002,13,11,2,11,2,37.2,19.7,17.5,1,1,3,1,37,34.35,2.85,0.85,24,7
2003,13,10,3,10,3,28.7,16.2,12.5,0,2,4,0,42,25.47,3.23,0.77,7,41
2004,12,10,2,10,2,24.3,17.6,6.7,1,0,1,0,14,23.13,1.17,0.83,17,70
2005,12,7,5,6,5,30,20,10,1,0,1,0,14,28.83,1.17,0.58,22,37
2006,13,6,7,5,,23.8,20.7,3.1,1,0,0,0,7,23.26,0.54,0.46,45,58
2007,12,6,6,6,6,18.5,18.8,-0.3,0,0,0,0,0,18.5,0,0.50,12,110
2008,13,9,4,8,4,30.3,13,17.3,1,0,1,0,14,29.13,1.17,0.69,5,33
2009,13,11,2,10,2,23.2,15.4,7.8,1,0,2,1,23,21.28,1.92,0.85,8,86
2010,12,8,5,7,5,28.9,17,11.9,4,0,2,1,44,25.23,3.67,0.67,7,49
2011,12,7,6,6,6,27.5,23.8,3.7,2,0,0,0,14,26.33,1.17,0.58,46,58
2012,12,4,8,3,8,19.3,22.9,-3.6,2,1,1,0,28,16.97,2.33,0.33,33,113
2013,13,8,5,7,5,26.3,18.9,7.4,2,1,2,0,35,23.38,2.92,0.62,9,80
2014,13,7,6,6,6,28.2,25.6,2.6,2,0,1,1,23,26.28,1.92,0.54,51,71
2015,13,11,2,11,2,30.9,20.4,10.5,4,0,0,0,28,28.75,2.15,0.85,20,53
2016,12,8,4,8,5,24.9,18.8,6.1,1,0,1,1,16,23.57,1.33,0.67,13,95
2017,13,8,5,8,5,28.2,19.9,8.3,4,0,0,1,30,25.89,2.31,0.62,17,66
2018,13,9,4,8,4,31.2,17.8,13.4,1,2,1,3,34,28.37,2.83,0.69,11,44
2019,13,10,3,10,3,25.8,14,11.8,1,0,2,0,21,24.18,1.62,0.77,5,88
2020,8,6,2,6,2,31.8,16,15.8,2,0,1,0,21,29.18,2.63,0.75,6,40
2021,14,10,4,10,4,23.4,19.2,4.2,3,1,2,2,46,19.86,3.54,0.71,13,99
2022,13,8,5,7,5,17.7,13.3,4.4,4,2,0,2,46,14.16,3.54,0.62,2,123
